date,R_t-estimate,school_closing,cancel_public_events,restrictions_on_gatherings,internationaltravel,temperature,windspeed,full_vaccination,visible,new_deaths
2021/2/27,0.92,2,1,3,3,43.2,9.4,10.09,6.7,0
2021/2/28,0.93,2,1,3,3,47.5,5.7,10.58,6.6,0
2021/3/1,1.02,2,1,3,3,48.2,3.5,11.08,6.5,2
2021/3/2,1.08,2,1,3,3,43.3,5.8,11.08,6.3,2
2021/3/3,1.09,2,1,3,3,35.8,9.4,11.08,6.3,2
2021/3/4,1.01,2,1,3,3,33.1,10.6,11.7,6.5,4
2021/3/5,0.92,2,1,3,3,35.3,7.7,11.9,7.3,5
2021/3/6,0.88,2,1,3,3,34.7,10,12.29,6.3,0
2021/3/7,0.91,2,1,3,3,36.7,6.1,12.65,3.3,0
2021/3/8,1.01,2,1,3,3,41.7,7.9,13.02,3.8,11
2021/3/9,1.1,2,1,3,3,45.1,17.3,13.02,5,5
2021/3/10,1.11,2,1,3,3,40.9,15.2,13.02,6.5,5
2021/3/11,1.03,2,1,3,3,41.3,18.4,14.13,6.3,2
2021/3/12,0.94,2,1,3,3,37.7,10.9,14.13,6.4,6
2021/3/13,0.93,2,1,3,3,40.1,11.7,14.58,6.1,0
2021/3/14,0.98,2,1,3,3,37.9,8.3,15.07,6.7,0
2021/3/15,1.09,2,1,3,3,37.9,8.6,15.65,5.7,12
2021/3/16,1.21,2,1,3,3,36.4,5.6,15.65,6.3,4
2021/3/17,1.22,2,1,3,3,35.7,11.6,15.65,5.7,7
2021/3/18,1.12,2,1,3,3,37.3,6.8,15.65,6.7,1
2021/3/19,1.04,2,1,3,3,39.8,8.7,17.16,6.4,9
2021/3/20,1.01,2,1,3,3,39.1,7.8,17.76,6.5,0
2021/3/21,1.03,2,1,3,3,43,3.9,18.45,6.6,0
2021/3/22,1.1,2,1,3,3,46.3,5.1,19.21,6.3,5
2021/3/23,1.16,2,1,3,3,45.3,6.4,19.21,6,7
2021/3/24,1.15,2,1,3,3,47.3,8.7,19.21,5.3,2
2021/3/25,1.05,2,1,3,3,41.1,11.8,20.52,6.4,8
2021/3/26,0.98,2,1,3,3,46.2,8.9,21.28,6.7,2
2021/3/27,0.98,2,1,3,3,53.2,4.9,22.27,6.5,0
2021/3/28,1.06,2,1,3,3,58.7,5.4,23.24,7,0
2021/3/29,1.15,2,1,3,3,61.5,4.7,24.17,7.3,3
2021/3/30,1.21,1,1,3,3,60.6,7.2,24.17,7.2,2
2021/3/31,1.17,1,1,3,3,43.6,11.7,24.17,6.6,3
2021/4/1,1.04,1,1,3,3,42.7,10.4,25.85,6.7,3
2021/4/2,0.79,1,1,3,3,43.5,6.9,26.07,6.6,1
2021/4/3,0.75,1,1,3,3,35.2,11.8,26.26,5.2,0
2021/4/4,0.72,1,1,3,3,32.2,11.2,26.79,6.6,0
2021/4/5,0.87,1,1,3,3,33.6,11.2,27.28,6.4,0
2021/4/6,1.06,1,1,3,3,37.7,6.4,27.28,6.8,11
2021/4/7,1.16,1,1,3,3,46.1,6.4,27.28,6.8,1
2021/4/8,1.12,1,1,3,3,46.1,7,28.17,3.7,0
2021/4/9,1.05,1,1,3,3,41,8.7,28.43,4,1
2021/4/10,0.92,1,1,3,3,37.1,7.2,28.66,6.3,0
2021/4/11,0.93,1,1,3,3,38.5,6.6,29.38,6.7,0
2021/4/12,0.97,1,1,3,3,37.7,8.6,30.15,7.3,9
2021/4/13,1.03,1,1,3,3,38,10.2,30.15,6.2,5
2021/4/14,1.03,1,1,3,3,39.2,9.3,30.15,6.7,7
2021/4/15,0.95,1,1,3,3,44.7,9.2,31.59,6.7,1
2021/4/16,0.85,1,1,3,3,47.2,6.9,32.56,6.6,0
2021/4/17,0.83,1,1,3,3,47.5,5.6,33.59,6.5,0
2021/4/18,0.88,1,1,3,3,49.9,5.7,34.7,6.1,0
2021/4/19,0.98,1,1,3,3,52.9,8,35.81,7.3,1
2021/4/20,1.06,1,1,3,3,45.8,10.9,35.81,6.3,0
2021/4/21,1.07,1,1,3,3,47.6,9.2,35.81,6.5,2
2021/4/22,0.97,1,1,3,3,49.8,11.8,38.01,6.8,2
2021/4/23,0.87,1,1,3,3,46.6,12,39.14,6.8,0
2021/4/24,0.85,1,1,3,3,46.7,12.1,40.28,6.7,0
2021/4/25,0.89,1,1,3,3,49.3,8.5,40.28,6.7,0
2021/4/26,0.99,1,1,3,3,52.8,7.5,42.51,7.3,1
2021/4/27,1.07,1,1,3,3,47.7,10.3,42.51,6.7,0
2021/4/28,1.06,1,1,3,3,43.6,4.8,42.51,6.5,1
2021/4/29,0.97,1,1,3,3,46.3,7.5,44.88,6.7,2
2021/4/30,0.85,1,1,3,3,44.1,7,45.92,6.9,2
2021/5/1,0.79,1,1,3,3,46.3,8.6,46.84,7,0
2021/5/2,0.81,1,1,3,3,45.7,15.7,47.9,6.9,0
2021/5/3,0.88,1,1,3,3,41.3,11.5,48.78,6.7,4
2021/5/4,0.96,1,1,3,3,41,6.7,48.78,6.9,0
2021/5/5,0.97,1,1,3,3,44.4,8.3,48.78,6.4,0
2021/5/6,0.9,1,1,3,3,50.8,6.8,48.78,7.3,1
2021/5/7,0.82,1,1,3,3,64.1,9.3,48.78,7.3,0
2021/5/8,0.78,1,1,3,3,57.6,8.8,51.18,7.3,0
2021/5/9,0.82,1,1,3,3,51.8,5.7,51.18,5.1,0
2021/5/10,0.85,1,1,3,3,52.1,7,51.89,6.3,3
2021/5/11,0.91,1,1,3,3,50.7,7.5,52.73,6.3,2
2021/5/12,0.9,1,1,3,3,49.6,6.8,53.58,6.6,0
2021/5/13,0.83,1,1,3,3,47.5,7.9,53.58,5.6,0
2021/5/14,0.77,1,1,3,3,49.7,8.6,54.44,6.5,0
2021/5/15,0.77,1,1,3,3,49.9,11.7,55.3,5.9,0
2021/5/16,0.8,1,1,2,3,48.2,8.1,56.13,6.3,0
